,t1,t2,t3,t4,t5,t6,t8,t9,t7_0,t7_1,t7_2,t10_0,t10_1,t10_2,t11_0,t11_1,t11_2,t12_0,t12_1,t12_2,13_0,13_1,13_2,14_0,14_1,14_2,14_3,14_4,14_5,15_0,15_1,15_2,15_3,15_4
43,0,4,0,2,5,1,1,1,2,3,3,2,3,3,4,0,0,2,3,0,1,2,3,1,2,3,5,5,5,3,4,4,4,4
44,0,3,0,2,4,1,1,1,2,3,3,1,2,5,0,0,0,1,2,2,1,2,2,1,2,3,3,3,3,1,2,4,4,4
45,0,3,1,1,4,2,3,3,2,2,2,2,3,3,4,4,4,2,2,2,1,1,1,1,3,3,3,3,3,1,2,3,3,3
46,0,4,0,3,5,1,2,1,3,3,3,1,2,3,3,4,4,3,3,3,2,2,2,1,3,3,3,3,3,1,3,4,4,4
47,0,3,0,2,5,3,2,1,2,2,2,1,4,5,2,2,2,1,1,1,2,2,2,1,2,3,3,3,3,1,2,4,4,4
48,0,3,0,2,4,2,2,1,2,2,2,5,5,5,2,0,0,2,3,3,2,2,2,1,2,3,5,5,5,1,2,2,2,2
49,0,3,1,2,4,2,1,1,3,3,3,2,2,2,1,2,0,1,2,0,1,2,2,1,2,3,3,3,3,2,3,4,4,4
50,0,3,0,2,1,1,2,1,2,2,2,1,2,5,0,0,0,0,0,0,2,2,2,0,0,0,0,0,0,1,1,1,1,1
51,0,3,0,2,4,1,1,1,3,3,3,3,3,3,3,4,0,1,2,2,1,2,4,1,2,3,5,5,5,1,2,3,4,4
52,0,3,0,2,4,2,2,1,2,3,3,2,2,2,4,0,0,0,0,0,2,2,2,0,0,0,0,0,0,4,0,0,0,0
53,0,3,0,3,4,1,2,2,3,3,3,2,2,2,3,3,3,1,3,0,1,2,2,2,3,5,5,5,5,1,1,1,1,1
54,0,3,1,2,4,1,2,1,2,2,2,1,5,5,4,0,0,0,0,0,1,2,2,3,0,0,0,0,0,4,4,4,4,4
55,0,3,0,1,5,2,1,1,3,3,3,2,3,3,3,4,0,1,3,3,1,1,1,4,4,4,4,4,4,4,4,4,4,4
56,1,3,0,3,5,1,1,1,2,3,3,2,3,5,2,2,2,3,3,3,2,2,2,4,4,4,4,4,4,1,1,1,1,1
57,1,3,1,1,3,2,2,2,1,2,2,1,2,3,1,1,1,3,3,3,1,2,3,1,2,3,3,3,3,1,4,4,4,4
58,1,3,1,1,3,2,3,1,1,2,2,1,3,5,1,0,0,1,3,3,1,1,1,1,3,3,3,3,3,1,4,4,4,4
59,1,3,1,1,3,3,2,1,1,1,1,1,3,3,1,1,1,1,2,3,1,4,4,3,5,5,5,5,5,1,2,3,3,3
60,1,3,1,1,3,3,2,2,1,1,1,1,4,5,1,1,1,2,2,2,1,2,3,1,2,3,4,4,4,1,1,1,1,1
61,1,2,1,2,4,2,2,1,1,2,2,1,4,5,1,2,2,1,3,3,2,2,2,2,3,5,5,5,5,2,4,4,4,4
62,1,4,1,1,4,2,2,1,1,1,1,1,1,1,1,2,2,1,2,3,2,3,3,3,3,3,3,3,3,2,3,4,4,4
63,1,4,0,1,5,2,2,2,1,2,2,1,3,5,1,0,0,2,3,3,2,3,4,3,4,4,4,4,4,1,2,3,3,3
64,1,3,1,1,3,2,2,2,1,1,1,1,3,5,1,1,1,1,2,2,1,1,1,1,2,3,4,5,5,1,2,4,4,4
65,1,2,0,2,2,2,2,2,2,2,2,2,2,2,1,2,2,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2
66,1,1,1,1,3,3,1,1,2,3,4,3,4,5,2,0,0,2,2,2,2,2,2,1,2,3,5,5,5,1,2,3,3,3
67,1,2,0,2,2,1,1,1,1,1,1,1,3,3,1,1,1,1,1,1,2,2,2,1,1,1,1,1,1,2,2,2,2,2
68,1,3,0,3,5,2,3,1,1,1,1,1,5,5,2,2,2,2,2,2,2,2,2,1,3,3,3,3,3,2,3,3,3,3
69,1,3,1,2,5,2,3,1,1,1,1,1,2,2,2,0,0,2,2,2,1,1,1,1,2,5,5,5,5,1,2,3,4,4
70,0,2,0,1,5,1,2,1,2,3,3,2,5,5,1,2,3,1,2,3,1,2,2,1,2,3,4,5,0,1,2,3,4,0
71,0,2,0,2,4,1,2,1,2,2,2,0,0,0,2,2,2,3,0,0,4,4,4,0,0,0,0,0,0,3,3,3,3,3
72,0,2,0,1,4,1,2,1,2,2,2,1,2,4,2,2,2,1,2,2,1,2,4,1,2,3,3,3,3,1,4,4,4,4
73,0,2,1,1,3,2,2,1,3,3,3,2,3,3,0,0,0,1,1,1,1,2,2,1,4,4,4,4,4,4,4,4,4,4
74,0,3,0,1,4,2,2,1,3,3,3,2,3,3,3,4,4,2,2,2,1,3,3,1,2,3,5,5,5,3,3,3,3,3
75,0,3,0,1,1,2,1,2,1,1,1,1,2,5,1,0,0,3,3,3,1,1,1,1,2,4,4,4,4,4,4,4,4,4
76,0,1,0,2,5,1,1,1,2,3,3,2,2,2,4,0,0,1,3,3,3,3,3,3,4,5,5,5,5,4,4,4,4,4
77,0,3,1,2,4,2,1,1,2,2,2,1,2,5,2,0,0,1,3,3,1,1,1,1,3,5,5,5,5,1,2,3,4,0
78,0,4,0,1,4,2,2,2,1,1,1,2,3,5,1,2,4,1,3,3,2,3,4,1,2,3,5,5,5,1,2,4,0,0
79,0,4,1,1,4,3,2,1,2,2,2,1,4,5,2,3,4,2,3,0,2,4,4,2,3,5,5,5,5,1,2,3,4,4
80,0,2,0,3,5,1,3,1,2,2,2,5,5,5,0,0,0,0,0,0,4,4,4,0,0,0,0,0,0,0,0,0,0,0
81,0,2,0,3,4,2,3,1,2,2,2,1,2,3,3,3,3,3,3,3,1,3,3,1,2,3,5,5,5,1,3,3,3,3
82,0,2,0,2,5,2,1,1,2,2,2,2,3,3,2,3,3,1,1,1,1,1,1,1,4,4,4,4,4,1,1,1,1,1
83,0,3,0,1,5,1,2,1,2,2,2,2,3,5,3,4,0,1,2,2,1,2,3,1,2,3,5,5,5,1,2,3,3,3
84,1,3,0,3,5,2,1,1,2,2,2,1,5,5,0,0,0,3,3,3,3,4,4,5,0,0,0,0,0,4,0,0,0,0
85,1,3,1,1,3,3,2,2,1,1,1,1,3,5,1,1,1,1,2,2,2,2,2,1,2,3,5,5,5,1,2,3,3,3
86,1,3,1,2,4,3,2,2,1,1,1,1,3,5,1,4,0,1,2,2,1,2,2,1,2,3,5,0,0,2,4,4,4,4
87,1,2,1,1,3,1,3,1,1,2,2,1,4,5,1,4,0,1,2,3,3,4,4,1,2,3,5,5,5,1,2,3,3,3
88,0,2,1,1,4,2,2,1,2,2,2,1,5,5,2,4,4,1,2,2,2,4,4,1,3,3,3,3,3,1,2,3,3,3
89,1,3,1,1,1,1,2,1,2,2,2,1,5,5,2,0,0,1,0,0,2,3,3,0,0,0,0,0,0,0,0,0,0,0
90,0,3,0,2,4,2,3,2,2,2,2,2,3,5,4,4,4,1,2,2,2,2,2,1,3,3,3,3,3,3,4,4,4,4
91,0,4,0,1,4,1,2,1,1,2,2,1,2,3,1,2,4,2,2,2,1,2,4,1,2,3,4,5,0,1,2,3,4,0
92,1,3,1,2,4,2,2,1,1,1,1,1,2,3,1,1,1,1,2,2,2,3,3,1,2,3,3,3,3,1,2,2,2,2
93,1,4,1,2,5,2,2,1,1,2,3,1,4,5,2,4,4,1,3,3,1,2,2,3,3,3,3,3,3,1,2,4,4,4
94,1,2,0,3,5,1,2,1,3,3,3,3,5,5,3,4,4,1,2,3,1,1,1,0,0,0,0,0,0,1,4,4,4,4
95,1,1,1,3,2,1,4,2,1,1,1,2,2,2,2,2,2,3,3,3,2,2,2,2,2,2,2,2,2,1,4,4,4,4
96,1,1,1,1,1,2,1,1,1,1,1,1,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
97,0,3,0,2,4,2,2,1,2,2,2,1,4,5,4,4,4,1,3,3,1,2,2,2,3,3,3,3,3,1,4,4,4,4
98,1,5,1,1,1,1,4,4,1,1,1,1,1,1,2,2,2,1,1,1,3,3,3,3,3,3,3,3,3,2,2,2,2,2
99,1,2,1,1,3,3,1,1,1,2,4,1,4,5,2,2,2,2,2,2,1,1,1,1,3,4,4,4,4,1,2,4,4,4
100,1,2,1,2,2,3,2,1,1,1,1,1,3,4,1,1,1,1,1,1,1,1,1,1,2,3,3,3,3,4,4,4,4,4
101,1,3,0,2,2,2,3,3,3,3,3,2,2,2,2,2,2,2,2,2,1,1,1,3,3,3,3,3,3,1,1,1,1,1
102,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
103,1,3,0,1,5,1,1,4,2,2,2,1,1,1,2,2,2,1,1,1,1,1,1,4,4,4,4,4,4,1,1,1,1,1
104,1,2,1,1,3,3,2,1,1,1,1,4,4,4,1,1,1,1,1,1,2,2,2,1,2,3,4,4,4,1,2,3,4,4
105,1,3,0,1,4,2,2,1,2,2,2,1,5,0,0,0,0,1,2,0,1,2,2,1,3,0,0,0,0,4,0,0,0,0
106,1,3,1,2,3,2,2,1,1,1,1,1,5,5,1,1,1,1,1,1,1,1,1,1,2,3,3,3,3,4,0,0,0,0
107,0,3,0,2,5,1,3,1,2,3,3,2,4,5,2,2,2,2,3,0,1,1,1,2,4,0,0,0,0,4,4,4,4,4
108,0,1,0,1,4,1,1,1,2,3,3,2,3,5,2,3,4,1,2,3,2,4,4,1,2,3,4,4,4,1,4,4,4,4
109,1,2,0,1,4,1,1,1,1,1,1,1,1,1,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
110,1,4,1,1,3,3,3,2,1,1,1,3,4,5,1,2,2,1,2,2,1,2,3,1,2,2,2,2,2,1,3,3,3,3
111,0,1,0,2,5,1,2,1,1,2,3,2,4,5,3,4,4,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
112,0,3,1,1,4,2,2,2,2,2,2,2,3,5,2,3,4,1,1,1,1,2,2,1,2,2,2,2,2,1,2,2,2,2
113,0,4,1,1,4,2,2,2,1,3,4,1,2,3,1,2,3,0,0,0,1,2,3,2,3,4,5,5,5,1,2,3,3,3
114,0,3,0,2,5,1,2,1,3,3,3,1,5,5,4,0,0,2,0,0,1,1,1,1,2,3,3,3,3,1,2,2,2,2
115,1,2,1,1,4,1,2,1,2,2,2,5,5,5,2,2,2,0,0,0,2,2,2,3,3,3,3,3,3,0,0,0,0,0
116,0,3,0,2,4,1,2,1,2,2,2,2,2,2,4,0,0,1,3,3,1,2,2,3,3,3,3,3,3,1,4,4,4,4
117,1,4,1,1,4,2,2,1,2,3,3,1,5,0,0,0,0,1,1,1,1,2,2,1,2,3,5,5,5,1,2,4,4,4
118,1,3,1,1,4,3,2,1,4,4,4,1,3,5,2,2,2,2,3,3,1,1,1,2,3,5,5,5,5,2,3,4,4,4
119,0,3,1,1,4,3,2,2,2,4,4,2,5,5,1,4,0,1,0,0,1,2,2,1,2,3,4,4,4,4,0,0,0,0
120,0,1,0,2,5,1,2,1,2,2,2,2,3,4,0,0,0,1,2,3,2,3,4,1,3,5,5,5,5,1,2,4,4,4
121,0,4,1,1,1,2,2,1,2,3,3,1,3,5,0,0,0,1,2,2,1,2,2,1,3,5,5,5,5,1,1,1,1,1
