疯狂的石头,2006,8.5
冰川时代,2002,8.6
雨中曲,1952,9.1
你看起来好像很好吃,2010,8.9
黑天鹅,2010,8.6
恐怖游轮,2009,8.5
茶馆,1982(中国大陆),9.5
2001太空漫游,1968,8.9
雨人,1988,8.7
魔女宅急便,1989,8.7
恋恋笔记本,2004,8.6
遗愿清单,2007,8.7
城市之光,1931,9.3
可可西里,2004,8.9
大佛普拉斯,2017,8.7
萤火虫之墓,1988,8.7
无间道2,2003,8.7
牯岭街少年杀人事件,1991,8.9
虎口脱险,1966,8.9
源代码,2011,8.5
背靠背，脸对脸,1994,9.5
人工智能,2001,8.7
初恋这件小事,2010,8.5
海边的曼彻斯特,2016,8.6
东京教父,2003,9.0
小丑,2019,8.7
罗生门,1950,8.8
终结者2：审判日,1991,8.8
青蛇,1993,8.6
奇迹男孩,2017,8.6
波西米亚狂想曲,2018,8.6
二十二,2015,8.7
疯狂的麦克斯4：狂暴之路,2015,8.6
房间,2015,8.8
新龙门客栈,1992,8.7
无耻混蛋,2009,8.6
血钻,2006,8.7
魂断蓝桥,1940,8.8
千钧一发,1997,8.8
步履不停,2008,8.8
黑客帝国2：重装上阵,2003,8.7
彗星来的那一夜,2013,8.5
心灵奇旅,2020,8.7
崖上的波妞,2008,8.6
战争之王,2005,8.7
爱乐之城,2016,8.4
谍影重重2,2004,8.7
燃情岁月,1994,8.8
阿飞正传,1990,8.5
海洋,2009,9.1
谍影重重,2002,8.6
末路狂花,1991,8.9
再次出发之纽约遇见你,2013,8.6
火星救援,2015,8.5
穿越时空的少女,2006,8.6
朗读者,2008,8.6
香水,2006,8.5
地球上的星星,2007,8.9
我爱你,2011,9.0
完美陌生人,2016,8.5
千年女优,2001,8.8
驴得水,2016,8.3
聚焦,2015,8.8
浪潮,2008,8.7
